region,sex,age,marst,educ,incwage
mountain division,female,21,never married/single,1 year of college,0
mountain division,female,20,never married/single,grade 12,11600
mountain division,male,38,"married, spouse absent",grade 10,0
mountain division,female,46,never married/single,n/a or no schooling,0
mountain division,female,20,never married/single,grade 12,2000
mountain division,male,51,"married, spouse absent",2 years of college,0
mountain division,female,42,never married/single,5+ years of college,20000
mountain division,female,42,never married/single,"grade 5, 6, 7, or 8",90000
mountain division,female,61,"married, spouse absent",5+ years of college,0
mountain division,female,50,"married, spouse present",5+ years of college,42000
mountain division,male,49,"married, spouse present",2 years of college,10000
mountain division,male,26,never married/single,1 year of college,60000
mountain division,female,23,never married/single,grade 12,0
mountain division,male,48,never married/single,grade 12,0
mountain division,male,44,separated,nursery school to grade 4,0
mountain division,male,65,never married/single,4 years of college,42000
mountain division,male,35,never married/single,grade 9,9600
mountain division,female,33,never married/single,grade 9,0
mountain division,male,20,never married/single,grade 12,16000
mountain division,male,36,"married, spouse present",5+ years of college,180000
mountain division,female,28,"married, spouse present",grade 12,0
mountain division,male,50,never married/single,1 year of college,38000
mountain division,female,43,never married/single,4 years of college,42000
mountain division,female,65,divorced,grade 12,0
mountain division,female,52,divorced,1 year of college,12000
mountain division,male,29,never married/single,grade 12,35000
mountain division,female,26,"married, spouse present",4 years of college,56000
mountain division,male,28,"married, spouse present",1 year of college,110000
mountain division,female,51,"married, spouse present",4 years of college,0
mountain division,male,59,"married, spouse present",4 years of college,195000
mountain division,male,52,never married/single,4 years of college,25000
mountain division,male,42,"married, spouse present",4 years of college,84000
mountain division,female,52,"married, spouse present",4 years of college,95000
mountain division,male,64,"married, spouse present",grade 12,247000
mountain division,female,57,"married, spouse present",1 year of college,120000
mountain division,female,20,never married/single,grade 12,20600
mountain division,male,43,never married/single,1 year of college,0
mountain division,male,55,"married, spouse present",4 years of college,112000
mountain division,female,56,"married, spouse present",5+ years of college,72000
mountain division,female,20,never married/single,grade 12,10000
mountain division,female,64,"married, spouse present",5+ years of college,33000
mountain division,male,26,never married/single,grade 12,0
mountain division,male,62,"married, spouse present",2 years of college,0
mountain division,female,65,"married, spouse present",2 years of college,0
mountain division,male,34,never married/single,grade 12,6000
mountain division,male,40,never married/single,5+ years of college,0
mountain division,male,25,never married/single,1 year of college,2000
mountain division,female,59,divorced,n/a or no schooling,64000
